repo,contributor_count
ioBroker/ioBroker.ping,32
ProxeusApp/proxeus-core,16
shaka-project/eme-encryption-scheme-polyfill,9
wmorellato/babel,3
ice987987/ioBroker.husqvarna-automower,3
xsalazar/drawio-twemoji-library,3
hotbear1110/botbear,19
ibutsu/ibutsu-server,23
bitfocus/companion-module-sony-visca,20
davidhund/retext-assuming,6
TA2k/ioBroker.bmw,7
timrogers/iata-code-decoder-api,3
anseki/cssprefix,1
taw/imba-boilerplate,2
athombv/node-homey-lib,39
SAP/webide-client-tools,18
benz2012/wiggle-animate,3
hexydec/dabby,5
Thrillberg/imperial,8
vZome/vzome,7
Bucky24/react-canvas,9
PtPrashantTripathi/shreeganesh,7
americanexpress/babel-preset-amex,20
Theresmore-Automation/Theresmore-Automation,9
EOX-A/EOxElements,21
pricescrawler/web-app,6
palmetto/palmetto-design-tokens,15
neoxr/open-api,3
centrifuge/documentation,67
AugustHome/server-health,8
thegreenter/docs,6
tidepool-org/viz,21
duckduckgo/privacy-dashboard,15
NiNiyas/ntfy-action,3
aruttkamp/ioBroker.rct,10
mkoskim/mawejs,3
willdurand/pino-devtools,2
brianhonohan/sketchbook,4
nasa-gcn/gcn-schema,21
buddypress/bp-blocks,4
openedx/frontend-app-profile,72
openedx/frontend-app-learner-portal-enterprise,70
open-pv/website,7
adopted-ember-addons/ember-launch-darkly,22
tasks/docs,16
VATUSA/current,19
indoorequal/openlayers-indoorequal,4
ESPresense/ESPresense.github.io,68
petems/csv-to-md-table-action,16
ehmicky/eslint-config,2
timbeadle/grunt-tv4,13
charlie-collard/twitch-chat-replay,0
Mephisto5558/Teufelsbot,2
amanda-mitchell/semantic-release-npm-multiple,5
Alpha4615/gibberish-detection,2
compasjs/compas,12
sipcapture/hep-js,7
italia/cloud.italia.it-site,15
carbon-chat/carbon,2
btecu/ember-select,9
nfriedly/couchdb-backup-restore,4
Financial-Times/ft-poller,37
JarvusInnovations/hologit,3
OpenAF/openaf,14
davidlag0/todo-nextjs,2
bitfocus/companion-module-planningcenter-serviceslive,8
iobroker-community-adapters/ioBroker.synology,14
dansmaculotte/nuxt-zendesk,5
conradfr/ProgRadio,2
bluet/callbaq,5
CloudCannon/eleventy-plugin-cloudcannon,9
brave/slim-list-lambda,12
openutm/flight-spotlight,5
maschad/covid19-banned-flights,2
quepas/electron-leveldown-pouchdb-webpack,3
nearform/the-micro-frontends-workshop,10
apigee/openapi2apigee,4
npm/stafftools,9
sanidhyy/jobs-react-native,2
codymj/mevn-starter,2
denisecase/node-express-mvc,58
carrycooldude/carrycooldude.github.io,3
wanadev/obsidian-api,10
FossifyOrg/.github,6
tido64/suggestion-bot,6
UtrechtUniversity/yoda-portal,23
iobroker-community-adapters/ioBroker.snmp,12
oslokommune/bydelsfakta,21
somleng/sms-gateway,4
blombard/review-reminder,5
gacts/install-hurl,4
acm-uic/WebMinigames,12
playcanvas/engine,153
react-grid-layout/react-draggable,77
sockjs/sockjs-client,67
cerebroapp/cerebro,53
jaywcjlove/hotkeys-js,56
ipfs/ipfs-desktop,64
illuspas/Node-Media-Server,4
stdlib-js/stdlib,347
carloscuesta/gitmoji-cli,55
codeceptjs/CodeceptJS,430
bigskysoftware/_hyperscript,100
mxschmitt/action-tmate,26
pmmmwh/react-refresh-webpack-plugin,51
zhw2590582/ArtPlayer,30
mozilla/multi-account-containers,82
asciinema/asciinema-player,25
camilatigre/listamaravilhosaopensource,117
pi-hole/web,229
josdejong/workerpool,52
formio/formio.js,193
simoneb/axios-hooks,28
twikoojs/twikoo,67
Elanis/web-to-desktop-framework-comparison,10
rmwc/rmwc,83
js-joda/js-joda,85
winkjs/wink-nlp,10
XRPLF/xrpl-dev-portal,197
rpldy/react-uploady,14
CityOfZion/neon-wallet,93
Shopify/js-buy-sdk,72
emberjs/ember-inspector,145
infokiller/web-search-navigator,32
apify/proxy-chain,35
biwascheme/biwascheme,48
open-telemetry/opentelemetry.io,1120
keycloak/keycloak-nodejs-connect,71
cboard-org/cboard,94
googlefonts/fontra,22
fastify/benchmarks,57
nextcloud/tasks,87
LibreSign/libresign,56
confuser/graphql-constraint-directive,39
jogetworkflow/jw-community,33
alpine-collective/alpinejs-devtools,8
pawitp/protobuf-decoder,11
auth0/express-openid-connect,54
steemit/steem-js,47
NorthernMan54/homebridge-alexa,12
jcubic/lips,17
todogroup/repolinter,49
whawker/react-jsx-highcharts,18
AndreMiras/gitpop2,2
SthephanShinkufag/Dollchan-Extension-Tools,35
jobsta/reportbro-designer,4
Codeminer42/cm42-central,165
wri/gfw,107
ehmicky/human-signals,5
nodejs/github-bot,32
noblox/noblox.js,61
HSLdevcom/digitransit-ui,107
wopian/smooth-corners,6
viasite/site-audit-seo,5
macbre/nodemw,40
airswap/airswap-protocols,30
electron/packager,95
NNTmux/newznab-tmux,37
adrianocola/spyfall,24
ONLYOFFICE/server,37
homebridge-plugins/homebridge-meross,17
kiwix/kiwix-js-pwa,12
cibernox/ember-power-calendar,64
slate/slate-irc,17
npm/make-fetch-happen,43
ForestAdmin/forest-express-sequelize,49
LDflex/LDflex,10
salesforce/sfdx-lwc-jest,41
jjppof/goldensun_html5,16
NexusMutual/smart-contracts,31
fastify/github-action-merge-dependabot,33
Madrapps/jacoco-report,11
w3c/aria-at,30
nextcloud/tables,62
contentful/contentful-export,54
AdguardTeam/AdguardAssistant,30
opentok/opentok-node,48
cheapsteak/npmcharts.com,20
bengarrett/RetroTxt,3
stephendade/Rpanion-server,12
Talend/ui,101
brendanmorrell/eslint-plugin-styled-components-a11y,16
finos/git-proxy,51
imdone/imdone-core,26
spicetify/docs,62
jensweigele/ioBroker.yahka,21
localnerve/html-snapshots,5
github/command,7
debjitbis08/sim8085,5
ipld/explore.ipld.io,61
neutralinojs/neutralinojs-cli,43
w3f/research,54
hendisantika/spring-boot-adminlte,5
zelloptt/zello-channel-api,14
foxthefox/ioBroker.ecoflow-mqtt,10
peterbe/whatsdeployed,12
UmbrellaDocs/linkspector,11
tracked-tools/tracked-toolbox,15
instacart/Snacks,33
getgauge/gauge-js,31
deltachat/deltachat-pages,95
mountain-pass/addressr,10
teamducro/gloomhaven-storyline,37
kurkle/chartjs-plugin-autocolors,8
ant-media/StreamApp,30
Sanix-Darker/tidi,2
emmanueldg/mqtt-chat,4
elastic/opbeans-node,28
leapfrogtechnology/just-handlebars-helpers,11
patch-technology/patch-node,20
h5p/h5p-cli,32
hackforla/311-data,77
CometVisu/CometVisu,52
spdx/spdx-online-tools,35
rafaelcaricio/gradient-parser,6
freelawproject/recap-chrome,21
newrelic/newrelic-node-apollo-server-plugin,32
e-alfred/flowupload,18
mian-ali/Ecommerce-App,3
texastribune/data-visuals-create,10
aj-archipelago/cortex,8
webdetails/cdf,174
Piotr1215/cloudrumble,11
Syipmong/expense-tracker,3
naver/zeplin-flutter-gen,4
iden3/ffjavascript,18
Availity/availity-react,104
soruly/anilist-chinese,9
tankaru/OpenSwitchMaps,11
fermyon/developer,75
bpmn-io/bpmn-js-cli,13
livecoders/website,96
Real-Dev-Squad/website-www,108
zaproxy/zap-api-nodejs,10
swaggerexpert/swagger-editor-validate,4
mmomtchev/igc-xc-score,5
foxthefox/ioBroker.fritzdect,36
clearlydefined/service,70
TheScienceMuseum/collectionsonline,18
ScootKit/CustomDCBot,6
dfinity/vscode-motoko,20
SAP/cf-nodejs-logging-support,19
kurkle/chartjs-plugin-gradient,6
mapcentia/vidi,10
vittominacori/eth-token-recover,2
uwolfer/mrz-scanner,2
g3w-suite/g3w-admin,17
adventistchurch/alps-wordpress,20
Chetan3010/EarthX,3
adiwg/mdEditor,13
ovk/clcalc,4
arduino/arduino-iot-js,11
mamund/alps-unified,4
nextcloud/announcementcenter,37
rkotze/git-mob-vs-code,5
Financial-Times/x-dash,118
ThatGuyJacobee/Elite-Music,2
Mastercard/oauth1-signer-nodejs,19
CircuitVerse/cv-frontend-vue,67
qoomon/time-timer-webapp,6
tldr-pages/tldr-lint,22
polotno-project/polotno-site,5
futurestudio/hapi-geo-locate,7
couchbase/docs-site,41
Nexusoft/NexusInterface,24
ingewortel/artistoo,9
abechanta/vscode-ext-paged-media,2
guyellis/http-status-check,15
OurSources/owop-client,12
chris48s/v8r,6
qunitjs/eslint-plugin-qunit,20
robhurring/hubot-redmine,13
LazyRen/LazyRen.github.io,4
minh-ton/apple-updates,3
intel/web-ai-showcase,7
bbc/bug,6
Neztore/save-server,5
openml/openml.org,31
boxyhq/website,17
twodayslate/swift-package-registry,6
stellar/js-xdr,21
warmachine028/nike,45
iobroker-community-adapters/ioBroker.sma-em,16
TrafeX/clipboard.ninja,2
Yorlg/WebSSH,4
w3c/spec-generator,17
bufbuild/protobuf-conformance,9
microsoftgraph/microsoft-graph-devx-content,66
aendue/ioBroker.reolink,15
swaggerexpert/json-api-merge,4
ArnaudBuchholz/reserve,3
imaxue/progress,44
decentralized-identity/universal-resolver-frontend,22
frafra/is-osm-uptodate,5
jameshfisher/jameshfisher.com,9
atlanhq/argopm,20
