url,id,title,label,high_label,repo,delay_days
https://www.github.com/Schmakus/ioBroker.lightcontrol/commit/62c8bfa6302b6d9c3e3fefb7b0779db427432a3e,92,Bump prettier from 2.8.2 to 2.8.3,groups,Grouping dependencies,Schmakus/ioBroker.lightcontrol,16.512800925925927
https://www.github.com/nimiq/keyguard/commit/3389f50ad5a6aa1c207729b8045a4ce3a1938a39,380,Bump handlebars from 4.1.0 to 4.5.1,groups,Grouping dependencies,nimiq/keyguard,0.007974537037037
https://www.github.com/XRPLF/xrpl-dev-portal/commit/377bb205d71c7d59f0328d9db6220b35a215e5ff,2758,Bump axios from 1.6.2 to 1.7.4,groups,Grouping dependencies,XRPLF/xrpl-dev-portal,0.1226273148148148
https://www.github.com/webex/webex-js-sdk/commit/f6e9d268ec7a33890e963fbc9398b7b98d829479,2389,build(deps): bump file-type from 16.5.3 to 16.5.4,groups,Grouping dependencies,webex/webex-js-sdk,18.283217592592592
https://www.github.com/stormwarning/stylelint-config-recess-order/commit/45081d035ec04cba02d1461a73e835b91d05ea37,270,📦 Bump eslint from 7.32.0 to 8.2.0,groups:dev,Grouping dependencies,stormwarning/stylelint-config-recess-order,200.38324074074072
https://www.github.com/readthedocs/ethical-ad-client/commit/1351fa81242f620b606b86caf236d1621db81b63,139,Bump minimatch from 0.2.14 to 3.0.8,others,Others,readthedocs/ethical-ad-client,133.91465277777775
https://www.github.com/robhurring/hubot-redmine/commit/b38d23f46ca14e7ec731b0629d048185e334da19,64,Bump vm2 from 3.9.15 to 3.9.16,groups,Grouping dependencies,robhurring/hubot-redmine,53.273726851851855
https://www.github.com/project-zot/zui/commit/907d021c2f0d146a167c1e90a0ded1fbb2c5c7da,242,build(deps): Bump loader-utils from 1.4.0 to 1.4.1,others,Others,project-zot/zui,0.3763888888888889
https://www.github.com/SAP/ui5-cli/commit/489341b92eaef05a3f252aeb5c7d45c6cb00a176,710,[INTERNAL] Bump eslint-plugin-jsdoc from 48.2.13 to 48.2.15,others,Others,SAP/ui5-cli,0.8927083333333333
https://www.github.com/pegasystems/react-sdk/commit/0a92543e75c864b86d0bc6da71150b29287313cf,355,Bump stylelint from 14.16.1 to 15.10.1,core-lib-major-upgrade,Upgraded along a core library,pegasystems/react-sdk,189.75983796296296
https://www.github.com/Nexusoft/NexusInterface/commit/c65fb561daf3fbe1cf6ca9a0c326ae90fc434437,141,Bump axios from 0.19.2 to 0.21.1,others,Others,Nexusoft/NexusInterface,0.6802430555555555
https://www.github.com/readthedocs/ethical-ad-client/commit/42ab45ccc114e2c99113360086388e820a85925c,140,Bump loader-utils from 1.4.0 to 1.4.1,groups,Grouping dependencies,readthedocs/ethical-ad-client,127.39665509259258
https://www.github.com/stoplightio/spectral-action/commit/64f1f461ceb9dab8351eb1211df0b2a79547ecb9,627,chore(deps): bump urijs from 1.19.6 to 1.19.8,groups,Grouping dependencies,stoplightio/spectral-action,90.3418287037037
https://www.github.com/Chia-Network/cadt/commit/db4e27a01e1786066a9b564af6eb234ac4b3ce77,1102,build(deps-dev): bump @babel/register from 7.23.7 to 7.24.6,groups:family,Grouping dependencies,Chia-Network/cadt,3.2152199074074077
https://www.github.com/Patternslib/Patterns/commit/d3a8040f1ee26be150e9a245565b7dcadd23c634,789,Bump ini from 1.3.5 to 1.3.8,groups,Grouping dependencies,Patternslib/Patterns,114.50149305555556
https://www.github.com/denisecase/node-express-mvc/commit/f3c8c09514af396defe7ed178ec7dc5ae9161cc0,109,Bump hosted-git-info from 2.8.8 to 2.8.9,bot:snyk,Upgraded by other bots,denisecase/node-express-mvc,78.00445601851852
https://www.github.com/timbru31/spigot-anti-piracy-backend/commit/c81b0b9d9d96f48106f145fb4e01e79f018ab982,785,build(deps-dev): bump nodemon from 2.0.21 to 2.0.22,groups,Grouping dependencies,timbru31/spigot-anti-piracy-backend,0.1219791666666666
https://www.github.com/onflow/fcl-js/commit/e1999731004915fbcd158dce3d033d140fce41a7,1432,Bump glob-parent from 3.1.0 to 5.1.2,others,Others,onflow/fcl-js,0.0951388888888888
https://www.github.com/playcanvas/engine/commit/4840a43a5ffebb0d3ce8ad0012fcee01d9612f0f,4556,Bump @rollup/plugin-babel from 5.3.0 to 5.3.1,others,Others,playcanvas/engine,0.0223032407407407
https://www.github.com/Chia-Network/cadt/commit/083cf6bb35ea51b63d2c9dd6809c4eff4be0afef,1204,chore(deps-dev): bump socket.io-client from 4.8.0 to 4.8.1,groups:family,Grouping dependencies,Chia-Network/cadt,3.155462962962963
